Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0603,7,100nF,
D1,1206,1,LED,
D2,0603,1,D_Schottky,
F1,0805,1,1100mA,
J1,Flipper zero,1,Flipper Zero,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,AVR-UPDI-6,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J4,IDC-Header_2x05_P2.54mm_Vertical,1,AVR-ISP-10,
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,2,SolderJumper_3_Bridged12,
R1,0603,1,1k,
R2,0603,1,330,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
"U1, U2",TSSOP-14_4.4x5mm_P0.65mm,2,TXS0104EPWR,
